preCost,cost,itemDescription
0.79,7.9,bottled beer
0.388,3.88,soda
0.309,3.09,soda
0.395,3.95,margarine
0.028,0.28,other vegetables
0.855,8.55,salty snack
0.657,6.57,soda
0.321,3.21,bottled water
0.71,7.1,shopping bags
0.572,5.72,napkins
0.406,4.06,flower (seeds)
0.549,5.49,soda
0.827,8.27,spices
0.203,2.03,whole milk
0.251,2.51,shopping bags
0.214,2.14,chocolate
0.546,5.46,rum
0.947,9.47,rolls/buns
0.517,5.17,yogurt
0.98,9.8,rolls/buns
0.865,8.65,margarine
0.152,1.52,butter
0.473,4.73,shopping bags
0.602,6.02,candy
0.697,6.97,dishes
0.526,5.26,chocolate
0.091,0.91,newspapers
0.791,7.91,soda
0.946,9.46,other vegetables
0.811,8.11,dessert
0.406,4.06,whipped/sour cream
0.044,0.44,newspapers
0.839,8.39,rolls/buns
0.375,3.75,potato products
0.112,1.12,roll products
0.066,0.66,detergent
0.243,2.43,fruit/vegetable juice
0.576,5.76,domestic eggs
0.466,4.66,salt
0.685,6.85,specialty cheese
0.291,2.91,red/blush wine
0.508,5.08,margarine
0.672,6.72,photo/film
0.771,7.71,specialty chocolate
0.144,1.44,shopping bags
0.045,0.45,curd
0.99,9.9,soda
0.291,2.91,rice
0.053,0.53,waffles
0.509,5.09,seasonal products
0.252,2.52,frozen vegetables
0.349,3.49,dental care
0.888,8.88,female sanitary products
0.139,1.39,frozen fish
0.182,1.82,specialty vegetables
0.207,2.07,frozen meals
0.8,8,frozen fish
0.677,6.77,whole milk
0.294,2.94,napkins
0.037,0.37,butter
0.857,8.57,dental care
0.985,9.85,butter milk
0.115,1.15,frozen vegetables
0.739,7.39,specialty chocolate
0.467,4.67,margarine
0.58,5.8,frozen fish
0.676,6.76,long life bakery product
0.964,9.64,whole milk
0.098,0.98,long life bakery product
0.019,0.19,spices
0.394,3.94,domestic eggs
0.206,2.06,cream cheese
0.209,2.09,napkins
0.506,5.06,dishes
0.846,8.46,bottled beer
0.211,2.11,sliced cheese
0.18,1.8,softener
0.916,9.16,cream cheese
0.241,2.41,frozen vegetables
0.251,2.51,whipped/sour cream
0.379,3.79,pastry
0.471,4.71,shopping bags
0.647,6.47,candles
0.412,4.12,newspapers
0.814,8.14,processed cheese
0.208,2.08,brandy
0.595,5.95,semi-finished bread
0.405,4.05,other vegetables
0.398,3.98,soda
0.926,9.26,soups
0.773,7.73,whipped/sour cream
0.37,3.7,pastry
0.533,5.33,salty snack
0.292,2.92,sugar
0.271,2.71,hard cheese
0.867,8.67,bottled water
0.337,3.37,instant coffee
0.145,1.45,soda
0.535,5.35,shopping bags
0.425,4.25,margarine
0.611,6.11,vinegar
0.852,8.52,liquor (appetizer)
0.11,1.1,seasonal products
0.051,0.51,tea
0.22,2.2,shopping bags
0.679,6.79,coffee
0.336,3.36,curd
0.098,0.98,bottled beer
0.195,1.95,UHT-milk
0.96,9.6,pastry
0.931,9.31,pasta
0.313,3.13,cake bar
0.166,1.66,mayonnaise
0.532,5.32,frozen vegetables
0.456,4.56,butter milk
0.59,5.9,specialty chocolate
0.983,9.83,baking powder
0.301,3.01,newspapers
0.04,0.4,newspapers
0.427,4.27,margarine
0.099,0.99,canned fish
0.385,3.85,pot plants
0.915,9.15,waffles
0.873,8.73,abrasive cleaner
0.3,3,yogurt
0.651,6.51,butter milk
0.642,6.42,whole milk
0.158,1.58,specialty chocolate
0.769,7.69,cream cheese
0.291,2.91,domestic eggs
0.424,4.24,bottled water
0.528,5.28,shopping bags
0.124,1.24,yogurt
0.196,1.96,newspapers
0.742,7.42,frozen potato products
0.883,8.83,newspapers
0.872,8.72,baking powder
0.334,3.34,ketchup
0.492,4.92,shopping bags
0.504,5.04,butter
0.091,0.91,flour
0.844,8.44,dish cleaner
0.186,1.86,hard cheese
0.631,6.31,soda
0.059,0.59,curd cheese
0.189,1.89,flour
0.418,4.18,red/blush wine
0.257,2.57,rolls/buns
0.882,8.82,butter
0.256,2.56,liqueur
0.561,5.61,waffles
0.808,8.08,fruit/vegetable juice
0.556,5.56,frozen vegetables
0.773,7.73,napkins
0.901,9.01,oil
0.448,4.48,salty snack
0.048,0.48,shopping bags
0.59,5.9,soda
0.287,2.87,bottled beer
0.739,7.39,domestic eggs
0.006,0.06,waffles
0.374,3.74,processed cheese
0.17,1.7,candles
0.867,8.67,cereals
0.881,8.81,pickled vegetables
0.974,9.74,whipped/sour cream
0.688,6.88,bottled beer
0.165,1.65,soda
0.408,4.08,frozen meals
0.625,6.25,soda
0.989,9.89,soda
0.157,1.57,napkins
0.425,4.25,oil
0.144,1.44,seasonal products
0.485,4.85,decalcifier
0.695,6.95,pastry
0.496,4.96,dishes
0.86,8.6,red/blush wine
0.549,5.49,cat food
0.065,0.65,frozen vegetables
0.693,6.93,whole milk
0.948,9.48,long life bakery product
0.151,1.51,sliced cheese
0.431,4.31,red/blush wine
0.032,0.32,bottled water
0.141,1.41,sparkling wine
0.079,0.79,candy
0.485,4.85,white bread
0.902,9.02,Instant food products
0.231,2.31,napkins
0.67,6.7,cat food
0.861,8.61,dish cleaner
0.695,6.95,shopping bags
0.795,7.95,shopping bags
0.673,6.73,whole milk
0.428,4.28,popcorn
0.018,0.18,specialty cheese
0.779,7.79,roll products
0.512,5.12,flower (seeds)
0.235,2.35,domestic eggs
0.511,5.11,photo/film
0.168,1.68,chocolate
0.807,8.07,long life bakery product
0.395,3.95,waffles
0.252,2.52,dog food
0.838,8.38,soda
0.116,1.16,rolls/buns
0.989,9.89,canned vegetables
0.033,0.33,bottled water
0.232,2.32,specialty chocolate
0.582,5.82,domestic eggs
0.31,3.1,bottled water
0.359,3.59,waffles
0.838,8.38,frozen meals
0.002,0.02,curd
0.351,3.51,shopping bags
0.53,5.3,white bread
0.116,1.16,shopping bags
0.545,5.45,shopping bags
0.19,1.9,waffles
0.536,5.36,yogurt
0.59,5.9,whole milk
0.394,3.94,soda
0.293,2.93,frozen vegetables
0.177,1.77,waffles
0.768,7.68,semi-finished bread
0.184,1.84,long life bakery product
0.007,0.07,pastry
0.613,6.13,cat food
0.851,8.51,specialty bar
0.301,3.01,pickled vegetables
0.634,6.34,newspapers
0.192,1.92,dog food
0.171,1.71,chocolate
0.968,9.68,soft cheese
0.649,6.49,hygiene articles
0.466,4.66,soda
0.805,8.05,kitchen towels
0.866,8.66,pastry
0.2,2,rolls/buns
0.508,5.08,soda
0.018,0.18,other vegetables
0.214,2.14,fruit/vegetable juice
0.076,0.76,other vegetables
0.068,0.68,domestic eggs
0.716,7.16,decalcifier
0.715,7.15,fruit/vegetable juice
0.556,5.56,dog food
0.727,7.27,bottled beer
0.858,8.58,salty snack
0.782,7.82,soda
0.79,7.9,napkins
0.193,1.93,house keeping products
0.609,6.09,bottled water
0.996,9.96,napkins
0.57,5.7,cat food
0.293,2.93,misc. beverages
0.59,5.9,chocolate
0.851,8.51,meat spreads
0.057,0.57,pasta
0.936,9.36,sugar
0.109,1.09,waffles
0.18,1.8,cleaner
0.202,2.02,whipped/sour cream
0.18,1.8,hygiene articles
0.633,6.33,shopping bags
0.4,4,prosecco
0.334,3.34,brown bread
0.669,6.69,brown bread
0.868,8.68,pickled vegetables
0.636,6.36,cereals
0.035,0.35,domestic eggs
0.339,3.39,waffles
0.043,0.43,honey
0.588,5.88,candles
0.572,5.72,bottled water
0.89,8.9,frozen vegetables
0.633,6.33,domestic eggs
0.021,0.21,pot plants
0.125,1.25,whipped/sour cream
0.122,1.22,rolls/buns
0.934,9.34,soda
0.875,8.75,frozen vegetables
0.954,9.54,soda
0.631,6.31,other vegetables
0.323,3.23,soft cheese
0.911,9.11,butter milk
0.939,9.39,baking powder
0.982,9.82,frozen dessert
0.134,1.34,bottled water
0.701,7.01,specialty cheese
0.855,8.55,flower (seeds)
0.922,9.22,detergent
0.146,1.46,butter
0.985,9.85,pastry
0.454,4.54,coffee
0.134,1.34,dish cleaner
0.131,1.31,kitchen towels
0.587,5.87,meat spreads
0.981,9.81,liquor (appetizer)
0.235,2.35,specialty fat
0.431,4.31,processed cheese
0.409,4.09,chewing gum
0.301,3.01,mustard
0.568,5.68,snack products
0.177,1.77,cake bar
0.996,9.96,newspapers
0.277,2.77,rum
0.318,3.18,curd
0.881,8.81,flour
0.2,2,soda
0.526,5.26,coffee
0.354,3.54,whole milk
0.438,4.38,semi-finished bread
0.286,2.86,pastry
0.736,7.36,margarine
0.92,9.2,bottled water
0.435,4.35,soda
0.285,2.85,hygiene articles
0.303,3.03,soft cheese
0.701,7.01,cream cheese
0.936,9.36,softener
0.46,4.6,bottled beer
0.059,0.59,curd
0.985,9.85,soda
0.454,4.54,waffles
0.568,5.68,semi-finished bread
0.595,5.95,bottled beer
0.283,2.83,abrasive cleaner
0.37,3.7,frozen vegetables
0.192,1.92,pastry
0.146,1.46,soft cheese
0.283,2.83,soda
0.39,3.9,cat food
0.114,1.14,flower (seeds)
0.695,6.95,salty snack
0.479,4.79,whipped/sour cream
0.434,4.34,pastry
0.098,0.98,frozen dessert
0.883,8.83,newspapers
0.47,4.7,whipped/sour cream
0.128,1.28,pasta
0.603,6.03,frozen dessert
0.885,8.85,spices
0.681,6.81,semi-finished bread
0.615,6.15,shopping bags
0.809,8.09,frozen vegetables
0.437,4.37,rolls/buns
0.367,3.67,brown bread
0.202,2.02,newspapers
0.213,2.13,pot plants
0.933,9.33,waffles
0.893,8.93,whipped/sour cream
0.931,9.31,butter
0.931,9.31,whipped/sour cream
0.236,2.36,soda
0.532,5.32,soda
0.335,3.35,margarine
0.63,6.3,domestic eggs
0.308,3.08,canned beer
0.101,1.01,coffee
0.139,1.39,shopping bags
0.791,7.91,soda
0.974,9.74,oil
0.934,9.34,dishes
0.511,5.11,sliced cheese
0.731,7.31,hygiene articles
0.928,9.28,chocolate
0.591,5.91,cream cheese
0.795,7.95,bottled beer
0.962,9.62,misc. beverages
0.622,6.22,shopping bags
0.809,8.09,semi-finished bread
0.283,2.83,root vegetables
0.353,3.53,fruit/vegetable juice
0.678,6.78,cereals
0.875,8.75,bottled water
0.582,5.82,bottled water
0.338,3.38,frozen vegetables
0.036,0.36,artif. sweetener
0.112,1.12,bottled beer
0.129,1.29,candy
0.078,0.78,white bread
0.143,1.43,root vegetables
0.338,3.38,brown bread
0.829,8.29,pasta
0.112,1.12,bottled beer
0.775,7.75,berries
0.654,6.54,ready soups
0.577,5.77,shopping bags
0.495,4.95,shopping bags
0.843,8.43,pastry
0.674,6.74,domestic eggs
0.279,2.79,sugar
0.703,7.03,waffles
0.245,2.45,salty snack
0.652,6.52,butter milk
0.683,6.83,whole milk
0.897,8.97,roll products
0.674,6.74,zwieback
0.863,8.63,nut snack
0.196,1.96,baking powder
0.178,1.78,other vegetables
0.48,4.8,bottled water
0.194,1.94,candles
0.687,6.87,soda
0.007,0.07,soft cheese
0.497,4.97,margarine
0.004,0.04,yogurt
0.095,0.95,frozen meals
0.307,3.07,chocolate
0.798,7.98,flour
0.623,6.23,candy
0.745,7.45,salt
0.133,1.33,candy
0.02,0.2,dishes
0.558,5.58,hygiene articles
0.664,6.64,hard cheese
0.846,8.46,fruit/vegetable juice
0.268,2.68,newspapers
0.699,6.99,chocolate
0.239,2.39,pastry
0.036,0.36,sweet spreads
0.849,8.49,rolls/buns
0.472,4.72,canned vegetables
0.678,6.78,chocolate
0.968,9.68,brown bread
0.777,7.77,flour
0.139,1.39,domestic eggs
0,0,whole milk
0.592,5.92,white bread
0.089,0.89,yogurt
0.908,9.08,soda
0.8,8,sliced cheese
0.068,0.68,canned beer
0.619,6.19,detergent
0.361,3.61,newspapers
0.743,7.43,napkins
0.175,1.75,curd
0.979,9.79,sugar
0.806,8.06,flower (seeds)
0.848,8.48,other vegetables
0.79,7.9,salty snack
0.626,6.26,ice cream
0.211,2.11,newspapers
0.933,9.33,rolls/buns
0.463,4.63,meat spreads
0.589,5.89,rolls/buns
0.873,8.73,rolls/buns
0.784,7.84,ice cream
0.111,1.11,fruit/vegetable juice
0.838,8.38,dish cleaner
0.837,8.37,margarine
0.635,6.35,yogurt
0.514,5.14,margarine
0.491,4.91,rice
0.325,3.25,oil
0.429,4.29,detergent
0.951,9.51,waffles
0.906,9.06,domestic eggs
0.494,4.94,yogurt
0.773,7.73,packaged fruit/vegetables
0.462,4.62,canned beer
0.477,4.77,other vegetables
0.78,7.8,white wine
0.095,0.95,whipped/sour cream
0.599,5.99,chocolate
0.506,5.06,root vegetables
0.044,0.44,napkins
0.7,7,red/blush wine
0.197,1.97,pot plants
0.556,5.56,chocolate
0.13,1.3,dental care
0.57,5.7,margarine
0.709,7.09,specialty vegetables
0.773,7.73,cream cheese
0.504,5.04,rolls/buns
0.813,8.13,UHT-milk
0.379,3.79,shopping bags
0.729,7.29,soft cheese
0.175,1.75,domestic eggs
0.977,9.77,salty snack
0.866,8.66,organic products
0.296,2.96,newspapers
0.104,1.04,bottled beer
0.377,3.77,pasta
0.824,8.24,cream cheese
0.475,4.75,pot plants
0.746,7.46,white bread
0.733,7.33,specialty chocolate
0.06,0.6,pasta
0.143,1.43,pasta
0.729,7.29,brown bread
0.845,8.45,salty snack
0.983,9.83,yogurt
0.833,8.33,salty snack
0.315,3.15,whole milk
0.988,9.88,soda
0.535,5.35,whipped/sour cream
0.301,3.01,pasta
0.844,8.44,pudding powder
0.955,9.55,chocolate
0.663,6.63,chocolate
0.541,5.41,hard cheese
0.107,1.07,frozen vegetables
0.042,0.42,cat food
0.715,7.15,bottled beer
0.779,7.79,chewing gum
0.531,5.31,salty snack
0.913,9.13,potato products
0.378,3.78,bottled beer
0.265,2.65,cream
0.017,0.17,bottled water
0.442,4.42,domestic eggs
0.756,7.56,detergent
0.383,3.83,bottled beer
0.497,4.97,artif. sweetener
0.295,2.95,other vegetables
0.995,9.95,napkins
0.261,2.61,dishes
0.296,2.96,soda
0.355,3.55,chocolate
0.107,1.07,softener
0.957,9.57,chocolate
0.833,8.33,Instant food products
0.031,0.31,frozen fruits
0.149,1.49,rolls/buns
0.274,2.74,pastry
0.273,2.73,rolls/buns
0.081,0.81,soda
0.103,1.03,fruit/vegetable juice
0.816,8.16,pastry
0.754,7.54,soda
0.781,7.81,soda
0.585,5.85,bottled water
0.179,1.79,bottled beer
0.478,4.78,rolls/buns
0.086,0.86,whole milk
0.875,8.75,white bread
0.757,7.57,domestic eggs
0.352,3.52,soda
0.544,5.44,soda
0.6,6,seasonal products
0.419,4.19,sugar
0.869,8.69,frozen vegetables
0.386,3.86,softener
0.974,9.74,cake bar
0.108,1.08,fruit/vegetable juice
0.52,5.2,hygiene articles
0.003,0.03,cream cheese
0.75,7.5,newspapers
0.767,7.67,fruit/vegetable juice
0.885,8.85,flower (seeds)
0.647,6.47,whipped/sour cream
0.045,0.45,canned fish
0.938,9.38,margarine
0.245,2.45,house keeping products
0.243,2.43,coffee
0.809,8.09,spices
0.223,2.23,white wine
0.862,8.62,baking powder
0.161,1.61,napkins
0.602,6.02,popcorn
0.168,1.68,pickled vegetables
0,0,chocolate
0.648,6.48,waffles
0.739,7.39,candles
0.636,6.36,long life bakery product
0.913,9.13,cake bar
0.954,9.54,semi-finished bread
0.563,5.63,napkins
0.69,6.9,shopping bags
0.495,4.95,sweet spreads
0.414,4.14,brown bread
0.288,2.88,white wine
0.259,2.59,chocolate
0.664,6.64,fruit/vegetable juice
0.393,3.93,spread cheese
0.511,5.11,shopping bags
0.762,7.62,candy
0.771,7.71,chewing gum
0.299,2.99,bottled water
0.258,2.58,yogurt
0.493,4.93,canned beer
0.564,5.64,detergent
0.448,4.48,hygiene articles
0.124,1.24,yogurt
0.845,8.45,nut snack
0.288,2.88,hard cheese
0.662,6.62,napkins
0.082,0.82,fruit/vegetable juice
0.783,7.83,butter milk
0.738,7.38,newspapers
0.353,3.53,spices
0.419,4.19,canned beer
0.506,5.06,popcorn
0.785,7.85,oil
0.435,4.35,shopping bags
0.383,3.83,napkins
0.118,1.18,fruit/vegetable juice
0.278,2.78,newspapers
0.61,6.1,yogurt
0.103,1.03,long life bakery product
0.464,4.64,chewing gum
0.461,4.61,candy
0.901,9.01,white bread
0.15,1.5,rolls/buns
0.198,1.98,popcorn
0.699,6.99,canned fish
0.872,8.72,sugar
0.223,2.23,dessert
0.859,8.59,butter
0.234,2.34,hygiene articles
0.192,1.92,detergent
0.411,4.11,frozen vegetables
0.561,5.61,newspapers
0.653,6.53,napkins
0.42,4.2,canned fish
0.961,9.61,shopping bags
0.143,1.43,sugar
0.334,3.34,fruit/vegetable juice
0.732,7.32,soda
0.568,5.68,candy
0.479,4.79,candy
0.497,4.97,chocolate
0.389,3.89,flour
0.163,1.63,shopping bags
0.313,3.13,white bread
0.461,4.61,fruit/vegetable juice
0.583,5.83,shopping bags
0.237,2.37,whipped/sour cream
0.134,1.34,newspapers
0.056,0.56,soda
0.115,1.15,pastry
0.289,2.89,whole milk
0.686,6.86,brown bread
0.697,6.97,brown bread
0.597,5.97,UHT-milk
0.608,6.08,bottled water
0.994,9.94,brown bread
0.654,6.54,canned vegetables
0.251,2.51,chocolate
0.18,1.8,shopping bags
0.472,4.72,long life bakery product
0.787,7.87,canned vegetables
0.951,9.51,whipped/sour cream
0.359,3.59,baking powder
0.414,4.14,specialty chocolate
0.755,7.55,soda
0.541,5.41,pastry
0.089,0.89,oil
0.127,1.27,fruit/vegetable juice
0.908,9.08,canned fish
0.43,4.3,chocolate
0.377,3.77,herbs
0.802,8.02,hard cheese
0.538,5.38,brown bread
0.361,3.61,canned beer
0.933,9.33,seasonal products
0.03,0.3,canned vegetables
0.589,5.89,hygiene articles
0.945,9.45,specialty chocolate
0.062,0.62,whipped/sour cream
0.937,9.37,butter milk
0.194,1.94,domestic eggs
0.768,7.68,skin care
0.146,1.46,margarine
0.688,6.88,cat food
0.114,1.14,chocolate marshmallow
0.104,1.04,baking powder
0.097,0.97,condensed milk
0.772,7.72,pastry
0.824,8.24,yogurt
0.903,9.03,newspapers
0.785,7.85,whipped/sour cream
0.5,5,spread cheese
0.296,2.96,margarine
0.545,5.45,chocolate
0.335,3.35,soda
0.036,0.36,pickled vegetables
0.147,1.47,napkins
0.268,2.68,margarine
0.105,1.05,waffles
0.948,9.48,salty snack
0.972,9.72,soda
0.615,6.15,semi-finished bread
0.999,9.99,rolls/buns
0.026,0.26,frozen vegetables
0.206,2.06,zwieback
0.99,9.9,mustard
0.35,3.5,soda
0.925,9.25,yogurt
0.4,4,rolls/buns
0.371,3.71,rolls/buns
0.079,0.79,bottled water
0.673,6.73,chewing gum
0.596,5.96,detergent
0.91,9.1,bottled beer
0.801,8.01,white wine
0.794,7.94,hard cheese
0.424,4.24,salty snack
0.189,1.89,bottled beer
0.855,8.55,frozen vegetables
0.462,4.62,UHT-milk
0.902,9.02,seasonal products
0.179,1.79,long life bakery product
0.142,1.42,long life bakery product
0.423,4.23,newspapers
0.131,1.31,mustard
0.727,7.27,whipped/sour cream
0.218,2.18,candy
0.632,6.32,whipped/sour cream
0.37,3.7,yogurt
0.993,9.93,rolls/buns
0.95,9.5,soft cheese
0.329,3.29,cream cheese
0.732,7.32,zwieback
0.144,1.44,pot plants
0.689,6.89,coffee
0.193,1.93,oil
0.302,3.02,yogurt
0.152,1.52,semi-finished bread
0.151,1.51,canned beer
0.405,4.05,skin care
0.796,7.96,newspapers
0.587,5.87,long life bakery product
0.111,1.11,white bread
0.256,2.56,dessert
0.162,1.62,soda
0.672,6.72,seasonal products
0.351,3.51,frozen vegetables
0.209,2.09,bottled water
0.707,7.07,sliced cheese
0.487,4.87,hygiene articles
0.27,2.7,hygiene articles
0.348,3.48,spread cheese
0.659,6.59,UHT-milk
0.038,0.38,newspapers
0.368,3.68,beverages
0.674,6.74,brown bread
0.414,4.14,soda
0.12,1.2,waffles
0.43,4.3,soft cheese
0.708,7.08,whole milk
0.765,7.65,soda
0.891,8.91,flour
0.149,1.49,salty snack
0.293,2.93,curd
0.613,6.13,chocolate marshmallow
0.187,1.87,newspapers
0.473,4.73,cat food
0.096,0.96,dog food
0.233,2.33,other vegetables
0.426,4.26,frozen vegetables
0.883,8.83,rolls/buns
0.442,4.42,coffee
0.775,7.75,napkins
0.264,2.64,mayonnaise
0.013,0.13,shopping bags
0.163,1.63,yogurt
0.976,9.76,bottled beer
0.296,2.96,shopping bags
0.137,1.37,semi-finished bread
0.03,0.3,chocolate
0.574,5.74,soda
0.638,6.38,brown bread
0.833,8.33,sliced cheese
0.118,1.18,salty snack
0.742,7.42,whipped/sour cream
0.786,7.86,misc. beverages
0.809,8.09,frozen vegetables
0.693,6.93,canned beer
0.792,7.92,seasonal products
0.73,7.3,domestic eggs
0.539,5.39,frozen meals
0.349,3.49,frozen potato products
0.053,0.53,UHT-milk
0.301,3.01,bottled water
0.155,1.55,whole milk
0.898,8.98,pastry
0.706,7.06,photo/film
0.385,3.85,rolls/buns
0.151,1.51,canned beer
0.51,5.1,sugar
1,10,pot plants
0.156,1.56,yogurt
0.769,7.69,whole milk
0.087,0.87,liquor
0.177,1.77,UHT-milk
0.057,0.57,whole milk
0.622,6.22,pastry
0.731,7.31,yogurt
0.492,4.92,soda
0.737,7.37,canned beer
0.979,9.79,frozen vegetables
0.046,0.46,napkins
0.172,1.72,long life bakery product
0.173,1.73,dental care
0.9,9,misc. beverages
0.262,2.62,condensed milk
0.039,0.39,brown bread
0.191,1.91,hygiene articles
0.918,9.18,soda
0.299,2.99,artif. sweetener
0.151,1.51,white bread
0.513,5.13,nut snack
0.027,0.27,cream cheese
0.201,2.01,soups
0.278,2.78,detergent
0.855,8.55,dog food
0.427,4.27,sliced cheese
0.263,2.63,domestic eggs
0.697,6.97,domestic eggs
0.064,0.64,oil
0.895,8.95,soda
0.648,6.48,margarine
0.493,4.93,soda
0.717,7.17,napkins
0.942,9.42,detergent
0.969,9.69,specialty bar
0.613,6.13,rolls/buns
0.79,7.9,rolls/buns
0.972,9.72,margarine
0.952,9.52,sugar
0.793,7.93,jam
0.649,6.49,sauces
0.999,9.99,hygiene articles
0.505,5.05,shopping bags
0.188,1.88,fruit/vegetable juice
0.274,2.74,domestic eggs
0.651,6.51,bottled beer
0.748,7.48,roll products
0.174,1.74,dishes
0.763,7.63,female sanitary products
0.086,0.86,shopping bags
0.606,6.06,candy
0.783,7.83,shopping bags
0.717,7.17,candles
0.887,8.87,soda
0.032,0.32,canned beer
0.532,5.32,salty snack
0.559,5.59,soda
0.211,2.11,fruit/vegetable juice
0.255,2.55,shopping bags
0.14,1.4,hard cheese
0.701,7.01,canned vegetables
0.668,6.68,shopping bags
0.462,4.62,rolls/buns
0.623,6.23,pot plants
0.713,7.13,sliced cheese
0.04,0.4,chocolate
0.722,7.22,frozen vegetables
0.916,9.16,bottled water
0.518,5.18,organic products
0.66,6.6,newspapers
0.709,7.09,white bread
0.993,9.93,hard cheese
0.03,0.3,candles
0.806,8.06,margarine
0.843,8.43,bottled beer
0.175,1.75,dishes
0.235,2.35,rolls/buns
0.952,9.52,kitchen towels
0.65,6.5,misc. beverages
0.771,7.71,white bread
0.225,2.25,chocolate
0.808,8.08,soups
0.441,4.41,canned beer
0.707,7.07,bottled water
0.73,7.3,shopping bags
0.292,2.92,rolls/buns
0.464,4.64,whole milk
0.143,1.43,cream cheese
0.827,8.27,shopping bags
0.408,4.08,rolls/buns
0.658,6.58,rolls/buns
0.541,5.41,margarine
0.372,3.72,flower (seeds)
0.625,6.25,oil
0.706,7.06,canned beer
0.856,8.56,Instant food products
0.018,0.18,misc. beverages
0.638,6.38,newspapers
0.446,4.46,rolls/buns
0.827,8.27,detergent
0.793,7.93,oil
0.712,7.12,sugar
0.218,2.18,whipped/sour cream
0.269,2.69,dishes
0.995,9.95,margarine
0.58,5.8,brown bread
0.716,7.16,rice
0.01,0.1,newspapers
0.573,5.73,shopping bags
0.365,3.65,house keeping products
0.04,0.4,chocolate
0.143,1.43,sugar
0.931,9.31,canned fish
0.352,3.52,sauces
0.871,8.71,detergent
0.265,2.65,fruit/vegetable juice
0.455,4.55,misc. beverages
0.491,4.91,soda
0.366,3.66,mustard
0.472,4.72,other vegetables
0.733,7.33,yogurt
0.294,2.94,misc. beverages
0.164,1.64,canned vegetables
0.787,7.87,oil
0.28,2.8,long life bakery product
0.459,4.59,misc. beverages
0.393,3.93,yogurt
0.665,6.65,soda
0.219,2.19,yogurt
0.436,4.36,semi-finished bread
0.121,1.21,meat spreads
0.269,2.69,misc. beverages
0.968,9.68,bottled water
0.386,3.86,bottled water
0.586,5.86,sugar
0.565,5.65,other vegetables
0.199,1.99,misc. beverages
0.733,7.33,sweet spreads
0.365,3.65,soda
0.976,9.76,pastry
0.285,2.85,roll products
0.328,3.28,napkins
0.702,7.02,salty snack
0.361,3.61,sugar
0.518,5.18,butter milk
0.264,2.64,candy
0.524,5.24,hygiene articles
0.305,3.05,pastry
0.58,5.8,soda
0.579,5.79,yogurt
0.695,6.95,napkins
0.918,9.18,bottled water
0.721,7.21,sweet spreads
0.751,7.51,chocolate
0.552,5.52,butter
0.429,4.29,whole milk
0.068,0.68,semi-finished bread
0.27,2.7,rolls/buns
0.236,2.36,newspapers
0.584,5.84,newspapers
0.858,8.58,hygiene articles
0.977,9.77,semi-finished bread
0.158,1.58,pot plants
0.033,0.33,shopping bags
0.942,9.42,bottled water
0.096,0.96,brown bread
0.421,4.21,domestic eggs
0.869,8.69,bottled water
0.176,1.76,cream cheese
0.721,7.21,newspapers
0.788,7.88,cereals
0.295,2.95,cream cheese
0.646,6.46,butter
0.403,4.03,bottled water
0.154,1.54,white bread
0.774,7.74,dessert
0.659,6.59,beverages
0.19,1.9,mustard
0.911,9.11,cream cheese
0.76,7.6,yogurt
0.333,3.33,semi-finished bread
0.639,6.39,margarine
0.585,5.85,soda
0.277,2.77,flour
0.52,5.2,bottled water
0.443,4.43,rolls/buns
0.147,1.47,mustard
0.665,6.65,other vegetables
0.876,8.76,long life bakery product
0.161,1.61,soda
0.57,5.7,flour
0.992,9.92,flour
0.377,3.77,rice
0.827,8.27,canned fish
0.056,0.56,cream cheese
0.416,4.16,specialty chocolate
0.428,4.28,brown bread
0.034,0.34,fruit/vegetable juice
0.431,4.31,napkins
0.602,6.02,napkins
0.447,4.47,sliced cheese
0.339,3.39,mustard
0.088,0.88,curd
0.166,1.66,soda
0.512,5.12,whole milk
0.24,2.4,pastry
0.201,2.01,butter
0.437,4.37,tea
0.376,3.76,butter
0.993,9.93,yogurt
0.046,0.46,canned vegetables
0.486,4.86,mayonnaise
0.007,0.07,butter
0.283,2.83,rolls/buns
0.905,9.05,margarine
0.253,2.53,sliced cheese
0.995,9.95,baking powder
0.333,3.33,rice
0.657,6.57,whole milk
0.437,4.37,frozen fish
0.727,7.27,domestic eggs
0.329,3.29,napkins
0.634,6.34,cat food
0.867,8.67,cling film/bags
0.17,1.7,yogurt
0.645,6.45,bottled beer
0.167,1.67,hygiene articles
0.931,9.31,herbs
0.873,8.73,curd
0.783,7.83,cereals
0.874,8.74,napkins
0.415,4.15,bottled water
0.803,8.03,coffee
0.045,0.45,rolls/buns
0.548,5.48,detergent
0.588,5.88,fruit/vegetable juice
0.596,5.96,shopping bags
0.774,7.74,fruit/vegetable juice
0.863,8.63,soda
0.892,8.92,domestic eggs
0.7,7,canned fruit
0.681,6.81,pickled vegetables
0.176,1.76,brown bread
0.849,8.49,napkins
0.293,2.93,salt
0.906,9.06,bottled water
0.781,7.81,candy
0.489,4.89,dish cleaner
0.336,3.36,baking powder
0.554,5.54,zwieback
0.085,0.85,candy
0.241,2.41,bottled water
0.289,2.89,salty snack
0.253,2.53,soda
0.302,3.02,frozen meals
0.452,4.52,rolls/buns
0.561,5.61,waffles
0.184,1.84,fruit/vegetable juice
0.428,4.28,waffles
0.616,6.16,hygiene articles
0.188,1.88,margarine
0.402,4.02,frozen meals
